subcategory,gwp_eol_ratio,gwp_manufacturing_ratio,gwp_total,gwp_transport_ratio,gwp_use_ratio,lifetime,screen_size,weight,yearly_tec,gwp_manufacturing_val,gwp_transport_val,gwp_eol_val,gwp_man_trans_eol_sum
All-in-One 24+,0.009333333333333334,0.5037058823529411,729.4005862068965,0.09313333333333332,0.35703448275862065,3.526315789473684,25.810344827586206,9.20778947368421,92.73304999999999,367.4033658640973,67.93150792873561,6.807738804597701,442.1426125974306
All-in-One <24,0.005573333333333336,0.7543564356435641,442.70262711864405,0.049024096385542136,0.3925044247787612,3.972972972972973,8.932203389830509,4.361870689655173,55.02586735849056,333.9555758432622,21.703096261997125,2.4673293084745773,358.1260014137339
Average All-in-One,0.0058518518518518555,0.7182457627118642,499.26208843537415,0.05577551020408161,0.38526056338028175,3.9076923076923076,12.261904761904763,5.04388888888889,57.6719854385965,358.59287950138355,27.846597708038306,2.921607776769969,389.3610849861918
Average Desktop,,0.4476571428571428,673.6688148148147,,0.47549074074074027,4.171296296296297,,7.593024390243903,170.41671428571428,301.5726568719576,,,
Average Laptop,0.0023769230769230786,0.798918552036199,309.8738255033557,0.03444516129032258,0.18989448441246987,4.135730858468677,13.927139364303224,1.8239867321867338,20.24644444444443,247.56394798505872,10.673653899112361,0.7365462467733613,258.9741481309444
Average Monitor,0.004243243243243242,0.6189664864864867,566.1420068027211,0.04044144144144142,0.33331098039215695,5.404761904761905,25.35679442508713,7.11184689655173,55.863531919642824,350.4229288030889,22.895598815652374,2.402278245081816,375.72080586382305
Desktop SFF,,0.47266666666666673,624.448275862069,,0.48593103448275876,4.0,,5.6190909090909065,97.02722222222222,295.1558850574713,,,
Desktop Tower,,0.38763157894736844,869.5882352941177,,0.5374411764705883,4.205882352941177,,11.012142857142859,252.13315789473688,337.07986068111455,,,
Desktop USDT,,0.6055,357.5824761904762,,0.316,4.095238095238095,,2.4945333333333335,40.046666666666674,216.51618933333336,,,
Laptop 14+,0.0015384615384615382,0.7976017699115047,332.47727272727275,0.029493506493506502,0.19818672199170118,4.2215686274509805,14.812121212121188,1.9474249999999995,22.058214285714275,265.1844611826228,9.805920602125152,0.5115034965034965,275.5018852812514
Laptop <14,0.002173913043478261,0.8084831460674157,276.5448275862069,0.0335084745762712,0.18015217391304345,4.070921985815603,12.315862068965496,1.3319346153846157,18.037530120481925,223.5818322355676,9.266595324371718,0.6011844077961019,233.4496119677354
Monitor 33+,0.0035333333333333336,0.47314999999999996,1275.2727272727273,0.025333333333333333,0.3958095238095239,5.7727272727272725,44.90909090909091,25.57338636363637,171.60091428571428,603.3952909090908,32.30690909090909,4.505963636363637,640.2081636363636
Monitor <33,0.0042659574468085085,0.6376122699386504,496.6424528301887,0.04294680851063828,0.32597488986784134,5.384905660377359,23.7335849056604,5.622969961977187,43.89069926108373,316.6653216969557,21.329208319951817,2.1186555700521867,340.1131855869597
Printer,,,8435.454545454546,,0.9776727272727274,5.0,,,42.10181818181819,,,,
Smartphone,0.011500000000000002,0.7610750000000002,63.45405405405406,0.07375000000000001,0.17457500000000004,2.95,195.8065,0.19446666666666665,7.6923076923076925,48.293294189189204,4.679736486486488,0.7297216216216218,53.702752297297316
Tablet,0.008428571428571428,0.6398571428571429,105.45,0.06635714285714286,0.26785714285714285,2.7857142857142856,11.133333333333333,0.6858333333333334,14.526666666666667,67.47293571428573,6.9973607142857155,0.888792857142857,75.3590892857143
Workstation,0.001,0.44299999999999995,2740.25,0.003,0.36600000000000005,4.0,,,195.1,1213.9307499999998,8.22075,2.74025,1224.8917499999998
